"LD1_TIP";"LD1_VOL";"LD1_SEQ";"LD1_DSN";"LD1_FLG";"LD1_CRDT";"LD1_EXDT";"LD1_CRID";"LD1_DIAS";"LD1_URET";"LD1_FILLER";"LD1_DEVC";"LD1_DEVN";"LD1_DSC";"LD1_FSQ";"LD1_VSQ";"FILLER_X_100"
"0x10";"GF0134";"0x0001";"TESTE.SCRXCF.GFSB.F013                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010145213F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0135";"0x0001";"TESTE.SCRXCF.GFSB.F014                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010145411F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0136";"0x0001";"TESTE.SCRXCF.GFSB.F015                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010151752F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0137";"0x0001";"TESTE.SCRXCF.GFSA.F020                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010154647F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0138";"0x0001";"TESTE.SCRXCF.GFSB.F020                      ";"0x00";"0x0116182F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F140C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010174048F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0139";"0x0001";"TESTE.SCRXCF.GFSA.F021                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010091207F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0145";"0x0001";"TESTE.SCRXCF.GFSA.F022                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010102238F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0146";"0x0001";"TESTE.SCRXCF.GFSA.F023                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010104635F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0150";"0x0001";"TESTE.SCRXCF.GFSA.F024                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010112745F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0151";"0x0001";"TESTE.SCRXCF.GFSA.F025                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010150220F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
"0x10";"GF0152";"0x0001";"TESTE.SCRXCF.GFSA.F026                      ";"0x00";"0x0116183F000000";"0x0F0052270FC400";"0x0000";"0x0000";"�";"0x048081F3F4";"90  ";"0x4040000000000000";"0x0000000000000000000000000000000000000000000000000000000000000000000000000000000100010000";"0x0000";"TE";"0xE2E3D4C6F440C3C1E3C1D3D6C74BE3C5E2E3C5C3C1E34BE2F0F040404040404040404040404040404040404040404040404000010155117F0000000000004040404040404040404040400000000000000000000000000000000000000000000000000000000000000000000000000000"
